#year	doy	hr	Fe1p2	Fe130
1991	1	0	-9999.9	-9999.9
1991	1	1	-9999.9	-9999.9
1991	1	2	-9999.9	-9999.9
1991	1	3	-9999.9	-9999.9
1991	1	4	-9999.9	-9999.9
1991	1	5	-9999.9	-9999.9
1991	1	6	-9999.9	-9999.9
1991	1	7	-9999.9	-9999.9
1991	1	8	-9999.9	-9999.9
1991	1	9	-9999.9	-9999.9
1991	1	10	-9999.9	-9999.9
1991	1	11	1.3214	4.1116
1991	1	12	-9999.9	-9999.9
1991	1	13	-9999.9	-9999.9
1991	1	14	-9999.9	-9999.9
1991	1	15	1.0374	4.1871
1991	1	16	1.1511	4.2915
1991	1	17	1.1682	4.2688
1991	1	18	1.1511	4.2454
1991	1	19	1.2079	4.2453
1991	1	20	1.2338	4.2551
1991	1	21	1.2373	4.2514
1991	1	22	1.3387	4.2936
1991	1	23	1.3551	4.2876
1991	2	0	1.3711	4.2925
1991	2	1	1.2909	4.2211
1991	2	2	1.2117	4.1516
1991	2	3	1.0752	4.0625
1991	2	4	1.1242	3.9898
1991	2	5	1.1052	4.0154
1991	2	6	1.0204	3.9377
1991	2	7	0.93651	3.8684
1991	2	8	0.92169	3.8310
1991	2	9	0.94349	3.8778
1991	2	10	0.91434	3.8398
1991	2	11	1.0955	4.1234
1991	2	12	1.0856	4.1979
1991	2	13	1.1332	4.0780
1991	2	14	1.1596	4.0185
1991	2	15	1.1844	4.0267
1991	2	16	1.2079	4.0223
1991	2	17	1.3387	4.1850
1991	2	18	1.4111	4.2179
1991	2	19	1.4252	4.1834
1991	2	20	1.4521	4.2524
1991	2	21	1.4895	4.2919
1991	2	22	1.4649	4.2606
1991	2	23	1.4973	4.2117
1991	3	0	1.5089	4.2031
1991	3	1	1.4389	4.1903
1991	3	2	1.3272	4.1518
1991	3	3	1.1424	4.0356
1991	3	4	1.0648	3.9558
1991	3	5	1.0542	3.9149
1991	3	6	1.1377	4.0553
1991	3	7	1.2716	4.2247
1991	3	8	1.0906	3.9489
1991	3	9	0.77452	3.7465
1991	3	10	0.15229	3.5218
1991	3	11	-0.070581	3.5738
1991	3	12	0.053078	3.6460
1991	3	13	0.35603	4.1302
1991	3	14	0.29667	4.2052
1991	3	15	0.29667	4.1431
1991	3	16	0.40654	4.1873
1991	3	17	0.40654	4.2171
1991	3	18	0.45179	4.2393
1991	3	19	0.53148	4.2441
1991	3	20	0.56585	4.2393
1991	3	21	0.59770	4.3205
1991	3	22	0.73078	4.3100
1991	3	23	0.79449	4.2665
1991	4	0	0.79449	4.2148
1991	4	1	0.68215	4.1339
1991	4	2	0.53148	4.0035
1991	4	3	0.49415	3.9466
1991	4	4	0.40654	3.8315
1991	4	5	0.45179	3.6682
1991	4	6	0.45179	3.7021
1991	4	7	0.40654	3.5718
1991	4	8	0.35603	3.6878
1991	4	9	0.35603	3.7282
1991	4	10	0.29667	3.7127
1991	4	11	0.45179	3.9338
1991	4	12	0.35603	3.9043
1991	4	13	0.35603	3.8684
1991	4	14	0.40654	3.8864
1991	4	15	0.49415	3.9215
1991	4	16	0.56585	3.8953
1991	4	17	0.65610	3.9804
1991	4	18	0.65610	3.9957
1991	4	19	0.73078	3.9882
1991	4	20	0.79449	3.9463
1991	4	21	0.85003	3.9129
1991	4	22	0.85003	4.2685
1991	4	23	0.88366	4.0435
1991	5	0	0.92942	4.1476
1991	5	1	0.85003	4.1867
1991	5	2	0.92942	4.1686
1991	5	3	0.85854	4.1296
1991	5	4	0.75282	4.0337
1991	5	5	0.73078	4.0873
1991	5	6	0.70757	4.0462
1991	5	7	0.64246	3.9841
1991	5	8	0.62839	3.9723
1991	5	9	0.59770	3.9425
1991	5	10	0.73078	4.0154
1991	5	11	0.73078	4.0491
1991	5	12	0.73078	4.0371
1991	5	13	0.73078	3.9641
1991	5	14	0.81358	4.1606
1991	5	15	0.85854	4.0637
1991	5	16	0.88366	4.0692
1991	5	17	0.88366	4.0695
1991	5	18	0.91434	4.0601
1991	5	19	0.92942	4.0652
1991	5	20	0.97081	4.0747
1991	5	21	1.0082	4.1293
1991	5	22	1.0082	4.1277
1991	5	23	1.0204	4.1289
1991	6	0	0.99607	4.0620
1991	6	1	0.95713	4.0210
1991	6	2	0.92942	4.0055
1991	6	3	0.89927	4.0357
1991	6	4	0.91434	4.1288
1991	6	5	0.86688	4.0683
1991	6	6	0.83251	4.0472
1991	6	7	0.81358	4.0372
1991	6	8	0.81358	4.0087
1991	6	9	0.79449	4.0151
1991	6	10	0.83251	4.0059
1991	6	11	0.79449	3.9694
1991	6	12	0.81358	3.9931
1991	6	13	0.87506	4.0052
1991	6	14	0.87506	3.9895
1991	6	15	0.91434	3.9799
1991	6	16	0.90687	3.9727
1991	6	17	0.92942	3.9768
1991	6	18	0.95713	3.9677
1991	6	19	0.94349	3.9643
1991	6	20	0.98363	3.9456
1991	6	21	0.97081	3.9431
1991	6	22	0.98363	3.9167
1991	6	23	1.0082	3.9100
1991	7	0	0.97081	3.9018
1991	7	1	0.95713	3.9241
1991	7	2	0.98363	3.9708
1991	7	3	0.99607	3.9591
1991	7	4	0.94349	3.9104
1991	7	5	0.91434	3.8871
1991	7	6	0.91434	3.8683
1991	7	7	0.91434	3.8617
1991	7	8	0.88366	3.8401
1991	7	9	0.87506	3.8272
1991	7	10	0.86688	3.8164
1991	7	11	0.86688	3.8181
1991	7	12	0.83251	3.8020
1991	7	13	0.87506	3.8189
1991	7	14	0.89154	3.8068
1991	7	15	0.89927	3.8020
1991	7	16	0.93651	3.8136
1991	7	17	0.92942	3.8045
1991	7	18	0.94349	3.8054
1991	7	19	0.91434	3.7961
1991	7	20	0.95713	3.7993
1991	7	21	0.95713	3.7846
1991	7	22	0.95713	3.7592
1991	7	23	0.95713	3.7492
1991	8	0	0.94349	3.7282
1991	8	1	0.99607	3.7097
1991	8	2	0.95713	3.6001
1991	8	3	0.95036	3.5791
1991	8	4	0.88366	3.5870
1991	8	5	0.79449	3.5382
1991	8	6	0.62839	3.4989
1991	8	7	0.53148	3.1843
1991	8	8	0.35603	3.3159
1991	8	9	0.29667	3.2393
1991	8	10	0.15229	3.0913
1991	8	11	0.59770	3.6694
1991	8	12	0.35603	4.0607
1991	8	13	0.45179	4.1007
1991	8	14	0.58206	4.1487
1991	8	15	0.62839	3.9725
1991	8	16	0.66932	3.9766
1991	8	17	0.70757	4.0141
1991	8	18	0.77452	4.0248
1991	8	19	0.83251	4.0208
1991	8	20	0.91434	4.1847
1991	8	21	0.91434	4.1384
1991	8	22	0.92942	4.1594
1991	8	23	0.89927	4.1231
1991	9	0	0.92942	4.1180
1991	9	1	0.88366	4.0910
1991	9	2	0.86688	4.1109
1991	9	3	0.83251	4.0925
1991	9	4	0.74194	4.1041
1991	9	5	0.65610	4.0885
1991	9	6	0.59770	4.0245
1991	9	7	0.53148	3.9769
1991	9	8	0.45179	3.7985
1991	9	9	0.53148	3.8401
